model,sampling,train_time_sec,accuracy,precision,recall,f1,auc
LogisticRegression,none,7.878552675247192,0.8874727964711909,0.8837967298134409,0.6512951855194012,0.7499388790416234,0.9048815285768519
DecisionTree,none,48.33367657661438,0.8622169199932614,0.7646979382371477,0.6762699718668719,0.7177706728263779,0.805340590801914
RandomForest,none,107.11747479438782,0.8846089052234213,0.8841762726821466,0.6382106268910239,0.7413236325520813,0.8919152283288752
LightGBM,none,5.6822803020477295,0.8902507366010802,0.9056825823806322,0.6433860608312543,0.7523276022593259,0.9126456349208898
XGBoost,none,11.609168767929077,0.8898725516824072,0.914472677177407,0.634242794203514,0.7490048581727002,0.9107142064378849
LogisticRegression,smote,29.10924196243286,0.8581565891845989,0.7240731248932172,0.7311163012898774,0.7275776684604972,0.9015692226650075
DecisionTree,smote,90.45959782600403,0.8654452439808432,0.776383865207637,0.675075640957588,0.7221942234115801,0.8064758116715441
RandomForest,smote,198.7896831035614,0.8829277013576838,0.8645156735385484,0.6499814215191889,0.7420537526891495,0.8921107801927612
LightGBM,smote,29.969156980514526,0.888146653235372,0.8755261680931669,0.6624422740060513,0.7542229474511226,0.9110742029047557
XGBoost,smote,41.239479303359985,0.886424192833052,0.8854301378845558,0.6450846647911248,0.746385990772089,0.9051735787818467
